 ,PROGRESSIVO,OPEN(H),HIGH(H),LOW(H),CLOSE(H),Entry Date,Market
 ,1,1035.5,1044.25,1034,1039.75,16/01/1998 14:45,ESH22-900-ESH22
 ,2,1043.25,1056.75,1042,1056,20/01/1998 14:45,ESH22-900-ESH22
 ,3,1050.5,1053.5,1039,1044.5,21/01/1998 14:45,ESH22-900-ESH22
 ,4,1040.25,1045.5,1035.75,1039.75,22/01/1998 14:45,ESH22-900-ESH22
 ,5,1041.25,1044,1026.5,1032,23/01/1998 14:45,ESH22-900-ESH22
 ,6,1039.75,1041.25,1031,1034.5,26/01/1998 14:45,ESH22-900-ESH22
 ,7,1033,1051.25,1032.25,1047.75,27/01/1998 14:45,ESH22-900-ESH22
 ,8,1048,1056.5,1047.5,1054.75,28/01/1998 14:45,ESH22-900-ESH22
 ,9,1052.5,1070.5,1051.5,1059.75,29/01/1998 14:45,ESH22-900-ESH22
 ,10,1061.75,1065,1055.5,1058.75,30/01/1998 14:45,ESH22-900-ESH22
 ,11,1073.5,1080.5,1072.5,1078,02/02/1998 14:45,ESH22-900-ESH22
 ,12,1075,1082.75,1073,1082.25,03/02/1998 14:45,ESH22-900-ESH22
 ,13,1077.75,1086.25,1074.25,1082.25,04/02/1998 14:45,ESH22-900-ESH22
 ,14,1086.75,1090.5,1075.5,1079.25,05/02/1998 14:45,ESH22-900-ESH22
 ,15,1084.5,1090.25,1081.75,1087,06/02/1998 14:45,ESH22-900-ESH22
 ,16,1091.75,1092,1081.75,1085.5,09/02/1998 14:45,ESH22-900-ESH22
 ,17,1088,1099.25,1086.25,1094.75,10/02/1998 14:45,ESH22-900-ESH22
 ,18,1093.5,1096.75,1091,1094.5,11/02/1998 14:45,ESH22-900-ESH22
 ,19,1090.75,1102.5,1082.75,1102,12/02/1998 14:45,ESH22-900-ESH22
 ,20,1095.25,1098.75,1092.5,1094.75,13/02/1998 14:45,ESH22-900-ESH22
 ,21,1099.75,1105,1095.25,1096.5,17/02/1998 14:45,ESH22-900-ESH22
 ,22,1097.75,1107.25,1096.25,1107,18/02/1998 14:45,ESH22-900-ESH22
 ,23,1106.5,1107.25,1100.25,1102.75,19/02/1998 14:45,ESH22-900-ESH22
 ,24,1104.75,1109.5,1096.25,1109.5,20/02/1998 14:45,ESH22-900-ESH22
 ,25,1115.5,1115.5,1105.25,1112.25,23/02/1998 14:45,ESH22-900-ESH22
 ,26,1110.5,1112.75,1101.75,1105,24/02/1998 14:45,ESH22-900-ESH22
