,Actual
0,1851.4368660821729
1,1804.5823878287777
2,1835.6516675262164
3,1790.049982809008
4,1791.0522176379577
5,1796.0633917827058
6,1776.519812618188
7,1787.0432783221595
8,1817.1103231906482
9,1786.5421609076845
10,1814.604736118274
11,1792.305011174145
12,1802.828476878116
13,1844.671780986763
14,1856.9491576413961
15,1814.604736118274
16,1822.622614749871
17,1827.1326714801446
18,1788.2960718583463
19,1765.9963469142172
20,1766.7480230359295
21,1766.9985817431666
22,1751.965059308922
23,1775.5175777892384
24,1803.3295942925909
25,1807.338533608389
26,1840.913400378202
27,1832.6449630393674
28,1831.8932869176551
29,1859.2041860065326
30,1838.9089307203028
31,1842.4167526216265
32,1863.7142427368062
33,1865.468153687468
34,1854.6941292762592
35,1889.521789582259
36,1899.0430204572804
37,1908.3136926250645
38,1917.0832473783737
39,1915.830453842187
40,1898.5419030428059
41,1904.5553120165036
42,1903.5530771875535
43,1939.1324136152657
44,1940.385207151453
45,1930.8639762764315
46,1947.6514096613375
47,1962.684932095582
48,1967.9466649475676
49,1967.9466649475676
50,1968.948899776517
51,1955.418729585697
52,1952.913142513323
53,1957.9243166580711
54,1972.9578390923157
55,1985.4857744541862
56,1981.2262764311504
57,1993.253094378546
58,1982.7296286745745
59,1966.1927539969058
60,1985.4857744541862
61,1959.6782276087329
62,1964.4388430462438
63,1963.6871669245315
64,1981.2262764311504
65,2002.7743252535672
66,2004.7787949114663
67,2001.0204143029055
68,2015.8033780299122
69,2021.0651108818977
70,2024.3223740759843
71,2013.548349664776
72,2011.293321299639
73,2006.532705862128
74,2012.7966735430637
75,2020.5639934674232
76,1997.5125924015817
77,1986.9891266976103
78,2004.5282362042292
79,1981.4768351383875
80,1974.7117500429777
81,1971.4544868488913
82,1975.46342616469
83,1982.2285112600998
84,2006.0315884476536
85,1988.2419202337976
86,1988.99359635551
87,1970.9533694344166
88,1991.499183427884
89,1969.4500171909922
90,1966.1927539969058
91,1963.1860495100566
92,1974.7117500429777
93,1975.713984871927
94,2002.52376654633
95,2017.3067302733368
96,2016.5550541516245
97,2023.0695805397975
98,2029.8346656352073
99,2021.3156695891355
100,2026.076285026646
101,2028.832430806258
102,2027.3290785628333
103,2037.8525442668042
104,2038.6042203885165
105,2045.6198641911637
106,2043.1142771187897
107,2020.313434760186
108,2007.5349406910782
109,2003.0248839608046
110,2002.2732078390923
111,2007.5349406910782
112,1998.5148272305314
113,2016.3044954443874
114,2018.0584063950491
115,2014.5505844937254
116,2036.8503094378548
117,1968.948899776517
118,1928.859506618532
119,1960.680462437683
120,1997.0114749871068
121,2021.3156695891355
122,2031.8391352931064
123,2036.8503094378548
124,2019.0606412239988
125,2028.58187209902
126,2026.577402441121
127,2057.396123431322
128,2068.6712652570054
129,2081.9508767405882
130,2083.955346398487
131,2094.4788121024585
132,2092.223783737322
133,2098.4877514182567
134,2092.975459859034
135,2105.5033952209046
136,2093.7271359807464
137,2105.753953928142
138,2097.7360752965446
139,2099.4899862472066
140,2101.494455905106
141,2103.7494842702426
142,2106.004512635379
143,2100.2416623689187
144,2088.465403128761
145,2091.7226663228466
146,2096.7338404675947
147,2114.523508681451
148,2111.7673629018395
149,2114.0223912669762
150,2106.505630049854
151,2121.5391524840984
152,2118.2818892900123
153,2125.548091799897
154,2115.5257435104004
155,2117.029095753825
156,2120.2863589479116
157,2118.5324479972496
158,2117.5302131683
